Address,Price,Link,Bedrooms,Bathrooms,SQFT,Zip_Code,Metro_Area,Address_1,City,State,Last_Sale_Date,Last_Sale_Value,Gross_rent,Description,sales_value,income_value
"333 Linda Ln, Palm Beach Shores, FL 33404",950000,https://www.zillow.com/homedetails/333-Linda-Ln-Palm-Beach-Shores-FL-33404/46866651_zpid/,2,2,1648,33404,"Miami, FL",333 Linda Ln,Palm Beach Shores,FL,2019-10,450000,97764,"This 2BR 2BA (with converted garage for potential work space or bedroom)  has had recent renovations to the entire inside and back yard / pool area. The inviting pool is screened in with a private, tree-lined fenced back yard. This home is ideally located - two blocks from the Palm Beach Inlet and walking distance to Sailfish Marina - in the town of Palm Beach Shores. Palm Beach Shores is a small town located on the southern tip of Singer Island. Surrounded by ocean, inlet and the Intracoastal, this little enclave of homes is a gem of a neighborhood with its own police and fire departments, community activities, beach access and more. Photos coming soon.",750000,1623260
"1310 Manor Dr, Riviera Beach, FL 33404",1225000,https://www.zillow.com/homedetails/1310-Manor-Dr-Riviera-Beach-FL-33404/46871694_zpid/,3,3,2147,33404,"Miami, FL",1310 Manor Dr,Riviera Beach,FL,2021-03,675000,132000,"Gorgeous beach home located in the Yacht Harbor Manor of Singer Island, directly across from the ocean. Closest single-family home on the island to the beach. Easy walk to dining and Sailfish Marina. This bright, split-level home with 2,147 square feet of open concept living space is perfect for families or entertaining. Fully renovated and furnished, this home is move-in ready, just bring your bags. Vaulted ceilings and French doors in the living room showcase the stunning outdoor space this property has to offer. Enjoy ocean breezes in the spacious, fenced backyard with a pool, new outdoor shower, covered patio area, balcony, and plenty of green space. Newer concrete tile roof, new flat roof/balcony, new ductwork, impact windows, tropical landscaping, and deeded private beach access. Amazing family home or lucrative short-term rental investment. This home features three bedrooms, two upstairs and one downstairs, along with three full bathrooms and an attached two-car garage.",1200000,3867724
"3600 N Ocean Dr APT 124, Riviera Beach, FL 33404",299888,https://www.zillow.com/homedetails/3600-N-Ocean-Dr-APT-124-Riviera-Beach-FL-33404/46871555_zpid/,2,1,868,33404,"Miami, FL",3600 N Ocean Dr APT 124,Riviera Beach,FL,2023-03,230000,42180,"Owner Motivated!  Make Offer!  Welcome to your own slice of paradise at Villas on the Ocean, nestled on the breathtaking Singer Island! This ground floor 2-bedroom, 1-bathroom condo offers the epitome of coastal living, boasting an oversized covered and screened patio that beckons you to relax and unwind. Step inside to discover a charming galley kitchen, perfect for whipping up delicious meals with ease. The adjacent dining area seamlessly flows into the spacious living room, creating an inviting space for entertaining or simply relaxing with loved ones. Located mere steps from pristine sandy beaches, this oasis offers unparalleled access to Florida's renowned coastline. Singer Island is celebrated for its world-class snorkeling, boating adventures, and fine dining experiences, ensuring endless opportunities for exploration and indulgence. Additionally, residents of Villas on the Ocean enjoy convenient access to Peanut Island, a beloved local gem offering, water sports, and picnicking areas for memorable outdoor escapades. Escape the winter chill and embrace the luxurious lifestyle of this top resort island, where every day feels like a dream come true. Say goodbye to snowstorms and hello to sunshine-filled days in this coastal haven. Don't miss your chance to make lasting memories in this idyllic retreat! Additional Info. newer Kitchen, Bath & A/C Brand New",180000,205985
"624 W 3rd St, Riviera Beach, FL 33404",249900,https://www.zillow.com/homedetails/624-W-3rd-St-Riviera-Beach-FL-33404/46878125_zpid/,2,1,818,33404,"Miami, FL",624 W 3rd St,Riviera Beach,FL,2023-08,155000,23988,"Don't miss out on this Beautiful updated home in Riviera Beach. One-level home featuring two bedrooms and 1 Bath. Enjoy the fenced in backyard. Great for those Bar-B-Q's. Close to the intercostal, Manatee Lagoon and Parks. Home was Renovated 2023. Washer and dryer-2023, Water Heater-2023, Roof-2023 and AC-2023",120000,70287
"176 E 24th St, Riviera Beach, FL 33404",479000,https://www.zillow.com/homedetails/176-E-24th-St-Riviera-Beach-FL-33404/46873270_zpid/,2,2,1092,33404,"Miami, FL",176 E 24th St,Riviera Beach,FL,2021-05,237000,40788,"Adorable Coastal Bungalow minutes to Phil Foster Boat ramp and beautiful beaches in Singer Island! Kayak or paddleboard to Peanut Island from the end of the street! This 2/2 has room to grow, and with no HOA bring your boat!  Newer metal roof, updated granite kitchen, hardwood floors! Termite Bond in place for all termite protection.  Home is sold As-Is with the right to Inspect.",280000,278862
"540 W 1st St, Riviera Beach, FL 33404",425000,https://www.zillow.com/homedetails/540-W-1st-St-Riviera-Beach-FL-33404/46878334_zpid/,3,2,1240,33404,"Miami, FL",540 W 1st St,Riviera Beach,FL,2021-12,200000,30768,"Excellent investment opportunity!! . 2 seperate buildings. Front building is 2 bed 1 bath. Rear business is 1 Bed 1 Bath. Fresh paint and roofs in great condition. ****Roofs replaced in 2014 and 2017.Market Rents 2 bed 1 bath $1,800 - $2,000. 1 bed 1 Bath $1,300 - $1,500Super close to Public marina and boat ramp directly in front of Peanut Island. Close to Port of Palm beach which has huge expansion plans for more cruise ships. 60 New Townhomes being built around the corner. ''Reimagine Riviera Beach'' would bring in a new city hall, recreation centers, and a public library, among other construction projects on 80 acres.More to come.....",220000,150255
"3800 N Ocean Dr APT 2150, Riviera Beach, FL 33404",2500000,https://www.zillow.com/homedetails/3800-N-Ocean-Dr-APT-2150-Riviera-Beach-FL-33404/82605102_zpid/,3,4,2773,33404,"Miami, FL",3800 N Ocean Dr APT 2150,Riviera Beach,FL,2021-06,1625000,164100,"Welcome to the exquisite Oceanfront Penthouse, offering a captivating southern east exposure and breathtaking views of the Intracoastal Waterway. This penthouse is a distinguished part of a collection of 66 private 3 and 4-bedroom residential condominiums, featuring a completely separate entrance for enhanced privacy and exclusivity.Step inside and be mesmerized by the impeccable renovations in the kitchen and living area, showcasing custom-made cabinets and top-of-the-line Viking appliances, including a Viking gas cooktop. The living area has been thoughtfully designed with surround sound and a designer fireplace, creating an ambiance of opulence and sophistication. Additionally, the office space features a convenient Murphy bed, providing versatility and functionality.",2500000,10017260
"2440 Rj Hendley Ave, Riviera Beach, FL 33404",269000,https://www.zillow.com/homedetails/2440-Rj-Hendley-Ave-Riviera-Beach-FL-33404/46876360_zpid/,3,1,1161,33404,"Miami, FL",2440 Rj Hendley Ave,Riviera Beach,FL,2021-01,130000,31140,"Single Family Home, Central air conditioner, concrete block, fenced in backyard, close to I-95 and blue Heron Blvd, Great house for first time home buyers and Investors that would like to make some cash flow, as well for resale. House has potential for a extra 4th bedroom.",150000,114053
"201 Cascade Ln, Palm Beach Shores, FL 33404",1795000,https://www.zillow.com/homedetails/201-Cascade-Ln-Palm-Beach-Shores-FL-33404/46866822_zpid/,5,4,2810,33404,"Miami, FL",201 Cascade Ln,Palm Beach Shores,FL,2021-07,1225000,180000,"Welcome to the Cascade House! Imagine waking up in a spacious home just 1 block from the pristine beaches of Singer Island. This home is on a corner lot featuring a beautiful heated pool with a spa. Lots of room for family and friends to comfortably enjoy themselves at the property or taking in the sun and fun at our local beaches. Palm Beach Shores is a small town on the South end of Singer Island and is best known as ""The Best Little Town in Florida"". We have our own fire department, private police department, Town Hall, private beach access, pavilion and playground. Residents love our walking paths through the center of the town and along the ICW. Cascade House features 5 bedrooms and 4 full bathrooms, 2 car garage and full sized laundry. Furniture and golf cart does convey. AUDIO/VIDEO RECORDING ON PROPERTY. Will pay Buyer Agent 3%. OWNER/AGENT. Email Owner/Agent for a showing.",2000000,9229797
"1051 Sugar Sands Blvd APT 352, Riviera Beach, FL 33404",699000,https://www.zillow.com/homedetails/1051-Sugar-Sands-Blvd-APT-352-Riviera-Beach-FL-33404/46872248_zpid/,2,2,1143,33404,"Miami, FL",1051 Sugar Sands Blvd APT 352,Riviera Beach,FL,2023-02,615000,42360,"The best of the best.  Penthouse near the elevator.  Laundry room close by as well.  East south and west Water views from almost every window. Situated just north of the Blue Heron bridge, this condo offers both sunrises and sunsets.  Fully furnished in a traditional classic FL style, all that's needed is a toothbrush and a zest for a Florida lifestyle.  Second bedroom works as a guest with a comfortable Murphy bed or office.  Closets are finished.  Kitchen offers a Sub Zero fridge, cutlery, pots and pans, dinnerware and wine glasses.  Plenty of storage.  Excellent seasonal rental history.  This condo is not occupied and easy to show.  Call Anne Slocum or Tim Guptill.   Sugar Sands offers Pickleball, tennis, gorgeous pool, billiards room and library plus  cards room.",550000,568877
"145 Ocean Ave APT 207, Palm Beach Shores, FL 33404",479000,https://www.zillow.com/homedetails/145-Ocean-Ave-APT-207-Palm-Beach-Shores-FL-33404/46867061_zpid/,2,2,1047,33404,"Miami, FL",145 Ocean Ave APT 207,Palm Beach Shores,FL,2022-08,446000,59988,"Experience coastal living at its finest in this upgraded 2-bedroom, 2-bathroom condo in gated community w/ washer/dryer in unit, new a/c and hot water heater nestled within walking distance to the pristine beaches of Palm Beach Shores. Immerse yourself in luxury with modern finishes and thoughtful details throughout. The property boasts a clubhouse, inviting pool, and a state-of-the-art fitness center, providing the perfect blend of relaxation and recreation. Uncover the best-kept secret in Palm Beach Shores, where every day feels like a vacation in paradise. NO SPECIAL ASSESSMENTS! Rentals allowed once/year, 60 day min-no waiting.",400000,512663
"1030 Singer Dr, Riviera Beach, FL 33404",1250000,https://www.zillow.com/homedetails/1030-Singer-Dr-Riviera-Beach-FL-33404/46871623_zpid/,3,3,1778,33404,"Miami, FL",1030 Singer Dr,Riviera Beach,FL,2018-02,589000,110400,"Welcome to your coastal oasis in Yacht Harbor! This stunning 3-bedroom, 3-bathroom pool home offers the ultimate blend of luxury, comfort, and convenience. Located just a street away from the picturesque intracoastal waterway and a short stroll to the sandy shores of the beach, this property embodies the quintessential Florida lifestyle. Upon entering, you're greeted by an inviting open floorplan adorned with sleek bamboo flooring and high-hat lighting, creating an airy and contemporary ambiance. The impact windows flood the space with natural light while providing peace of mind during storm season. Every detail has been meticulously crafted, from the all-new doors and trim to the tasteful finishes throughout. The heart of the home is the dream kitchen, boasting tiled backsplash, stainless steel appliances, pendant lighting, and a convenient snack bar perfect for casual dining or entertaining guests. Retreat to the primary suite featuring charming barn doors, a spacious walk-in closet, and a slider leading to the patio, allowing for seamless indoor-outdoor living. The ensuite bath is a spa-like retreat, complete with double sinks adorned with granite countertops and a luxurious walk-in shower.  Step outside to your own private oasis, where a large screen-enclosed patio awaits. Enjoy alfresco dining or lounging by the custom pool surrounded by a stamped concrete deck. Perfect for gatherings, the patio also features a sink and built-in refrigerator, making outdoor entertaining a breeze. As the evening cools, gather around the fire pit and enjoy the serene ambiance of your tropical landscaped backyard, fully fenced for privacy.  Additional features include a driveway updated with stamped concrete, gutters for added convenience, and the availability of natural gas, providing endless possibilities for customization.  Don't miss your chance to own this coastal retreat, where every day feels like a vacation. Schedule your showing today and start living the Florida lifestyle you've always dreamed of!",1350000,1140503
